,metabolite,name,description
493,MGlcn77_rl,"""released mucin-type O-glycan No 77""",null
494,MGlcn79_rl,"""released mucin-type O-glycan No 79""",null
495,MGlcn46_rl,"""released mucin-type O-glycan No 46""",null
496,MGlcn78_rl,"""released mucin-type O-glycan No 78""",null
497,MGlcn158_rl,"""released mucin-type O-glycan No 158""",null
498,MGlcn159_rl,"""released mucin-type O-glycan No 159""",null
499,MGlcn160_rl,"""released mucin-type O-glycan No 160""",null
500,din,"""Deoxyinosine""","""Human Metabolome Database (HMDB): Deoxyinosine is a nucleoside that is formed when hypoxanthine is attached to a deoxyribose ring (also known as a ribofuranose) via a beta-N9-glycosidic bond. Deoxyinosine is found in DNA while inosine is found in RNA. Inosine is a nucleic acid important for RNA editing. Adenosine deaminase (ADA) catalyzes the conversion of adenosine and deoxyadenosine to inosine and deoxyinosine, respectively. ADA-deficient individuals suffer from severe combined immunodeficiency (SCID) and are unable to produce significant numbers of mature T or B lymphocytes. This occurs as a consequence of the accumulation of ADA substrates or their metabolites. Inosine is also an intermediate in a chain of purine nucleotides reactions required for muscle movements. Moreover, deoxyinosine is found to be associated with purine nucleoside phosphorylase (PNP) deficiency, which is an inborn error of metabolism."""
501,4hpro_LT,"""4-Hydroxyproline""","""Human Metabolome Database (HMDB): 4-Hydroxyproline (hydroxyproline or Hyp) is a major component of the protein collagen. Hydroxyproline is produced by hydroxylation of the amino acid proline and is, therefore, a post-translationally modified amino acid. Hydroxyproline and proline play key roles for collagen stability. In particular, they permit the sharp twisting of the collagen helix. Hydroxyproline is found in few proteins other than collagen. The only other mammalian protein which includes hydroxyproline is elastin. For this reason, hydroxyproline content has been used as an indicator to determine collagen and/or gelatin amount in tissue or biological samples. Increased serum and urine levels of hydroxyproline have been found in Paget's disease (PMID: 436278). Hydroxyproline (Hyp) content in biological fluids is used as a parameter of collagen catabolism, especially bone resorption or tissue degradation. Bedridden and elderly individuals show significantly elevated serum levels of hydroxyproline in comparison to normal, active individuals (PMID: 10706420). Elevated levels of urinary hydroxyproline are also indicative of muscle damage (PMID: 21988268). Increased reactive oxygen species (ROS) are also known to accelerate collagen degradation. Hydroxyproline levels increase in cases of depression and stress (PMID: 21483218). 4-Hydroxyproline is found to be associated with Alzheimer's disease, and also hydroxyprolinemia and iminoglycinuria which are both inborn errors of metabolism. 4-Hydroxyproline is also involved in metabolic disorders such as hyperprolinemia type I, hyperornithinemia with gyrate atrophy (HOGA), L-arginine:glycine amidinotransferase deficiency, creatine deficiency, and guanidinoacetate methyltransferase deficiency. A deficiency in ascorbic acid can result in impaired hydroxyproline formation (PubChem). trans-4-Hydroxy-L-proline is a biomarker for the consumption of processed meat."""
502,acac,"""Acetoacetic acid""","""Human Metabolome Database (HMDB): It is a weak organic acid and can be produced in the human liver under certain conditions of poor metabolism leading to excessive fatty acid breakdown (diabetes mellitus leading to diabetic ketoacidosis), it is then partially converted to acetone by decarboxylation and excreted either in urine or through respiration. Persistent mild hyperketonemia is a common finding in newborns. These compounds serve as an indispensable source of energy for extrahepatic tissues, especially the brain and lung of developing rats. Another important function of ketone bodies is to provide acetoacetyl-CoA and acetyl-CoA for synthesis of cholesterol, fatty acids, and complex lipids. During the early postnatal period, acetoacetate (AcAc) and beta-hydroxybutyrate are preferred over glucose as substrates for synthesis of phospholipids and sphingolipids in accord with requirements for brain growth and myelination. Thus, during the first 2 wk of postnatal development, when the accumulation of cholesterol and phospholipids accelerates, the proportion of ketone bodies incorporated into these lipids increases. On the other hand, an increased proportion of ketone bodies are utilized for cerebroside synthesis during the period of active myelination. In the lung, AcAc serves better than glucose as a precursor for the synthesis of lung phospholipids. The synthesized lipids, particularly dipalmityl phosphatidylcholine, are incorporated into surfactant, and thus have a potential role in supplying adequate surfactant lipids to maintain lung function during the early days of life. (PMID 3884391) The acid is also present in the metabolism of those undergoing starvation or prolonged physical exertion as part of gluconeogenesis. When ketone bodies are measured by way of urine concentration, acetoacetic acid, along with beta-hydroxybutyric acid or acetone, is what is detected."""
503,lcts,"""Alpha-Lactose""","""Human Metabolome Database (HMDB): alpha-Lactose is the major sugar present in milk and the main source of energy supplied to the newborn mammalian in its mother's milk. Lactose is also an important osmotic regulator of lactation. It is digested by the intestinal lactase (EC 3.2.1.108), an enzyme expressed in newborns. Its activity declines following weaning. As a result, adult mammals are normally lactose-intolerant and more than 75% of the human adult population suffers from lactase deficiency. Lactase deficiency is present in up to 80 percent of blacks and Latinos, and up to 100 percent of American Indians and Asians. Persons with lactose intolerance are unable to digest significant amounts of lactose. Common symptoms include abdominal pain and bloating, excessive flatus, and watery stool following the ingestion of foods containing lactose. A sizable number of adults believe they are lactose intolerant but do not actually have impaired lactose digestion, and some persons with lactase deficiency can tolerate moderate amounts of ingested lactose. A diagnosis of lactose intolerance can usually be made with a careful history supported by dietary manipulation. If necessary, diagnosis can be confirmed by using a breath hydrogen or lactose tolerance test. These mostly uncomfortable symptoms of lactose maldigestion are blamed for a variably dairy consumption. There is, however, emerging evidence that certain lactic acid-producing bacteria, which selectively consume prebiotics, may be beneficial against some lower intestinal diseases. Lactose maldigestion and lactose should perhaps be re-evaluated as a potential provider of such a prebiotic. Treatment consists primarily of avoiding lactose-containing foods. Lactase enzyme supplements may be helpful. The degree of lactose malabsorption varies greatly among patients with lactose intolerance, but most of them can ingest up to 350 mL of milk daily without symptoms. Lactose-intolerant patients must ensure adequate calcium intake. (PMID: 13130292, 12216958, 12197838, 12018807). Lactose in the urine is a biomarker for the consumption of milk."""
504,arabttr,"""Arabinotriose""",""""""
505,glc_D,"""D-Glucose""","""Human Metabolome Database (HMDB): Glucose is a monosaccharide containing six carbon atoms and an aldehyde group and is therefore referred to as an aldohexose. The glucose molecule can exist in an open-chain (acyclic) and ring (cyclic) form, the latter being the result of an intramolecular reaction between the aldehyde C atom and the C-5 hydroxyl group to form an intramolecular hemiacetal. In water solution both forms are in equilibrium and at pH 7 the cyclic one is the predominant. Glucose is a primary source of energy for living organisms. It is naturally occurring and is found in fruits and other parts of plants in its free state. In animals glucose arises from the breakdown of glycogen in a process known as glycogenolysis. Glucose is synthesized in the liver and kidneys from non-carbohydrate intermediates, such as pyruvate and glycerol, by a process known as gluconeogenesis. D-Glucose is found to be associated with 3-methyl-crotonyl-glycinuria, growth hormone deficiency, and primary hypomagnesemia, which are inborn errors of metabolism."""
506,hspg_degr_12,"""Product GLCNACASE_HS2, GlcA-GlcNAc-IdoA-Gal-Gal-Xyl-L-Ser (protein)""",""""""
507,MGlcn187,"""mucin-type O-glycan No 187""",null
508,MGlcn186_rl,"""released mucin-type O-glycan No 186""",null
509,MGlcn187_rl,"""released mucin-type O-glycan No 187""",null
510,malttr,"""Maltotriose""","""Human Metabolome Database (HMDB): Maltotriose is a common oligosaccharide metabolite found in human urine after maltose ingestion or infusion (PMID 6645121). Maltotriose is increased in Glycogen storage disease II (OMIM 232300) due to a mutation of the enzyme alpha-1,4-glucosidase (E.C. 3.2.1.20) (4286143)."""
511,glyasn,"""Glycyl-L-asparagine""","""Human Metabolome Database (HMDB): Glycyl-Asparagine is a dipeptide composed of glycine and asparagine. It is an incomplete breakdown product of protein digestion or protein catabolism. Some dipeptides are known to have physiological or cell-signaling effects although most are simply short-lived intermediates on their way to specific amino acid degradation pathways following further proteolysis. This dipeptide has not yet been identified in human tissues or biofluids and so it is classified as an 'Expected' metabolite."""
